Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Settlement type;Female 18-49;Female 50+;Male 18-49;Male 50+;Total;PoC
UKR-000322;23;Protection;Lviv;Lvivskiy;Bibrska;Trnavskoho, 22;12.05.2023;Доступ до послуг;Ukrainian;Urban;10;3;;0;13;IDP
UKR-000322;24;Protection;Lviv;Volodymyrsky;Novovolynska;Lutska, 24;17.05.2023;Доступ до послуг, Юридична допомога;Ukrainian;Collective centre;4;6;;;10;IDP
UKR-000322;25;Protection;Lviv;Lvivskiy;Lvivska;Doroshenka, 25;18.05.2023;Доступ до послуг;Ukrainian;Collective centre;3;4;;;7;IDP
UKR-000322;26;Protection;Lviv;Lvivskiy;Bortiatyn;;23.05.2023;Доступ до послуг;Ukrainian;Collective centre;5;5;;;10;IDP
UKR-000322;27;Protection;Lviv;Kalushsky;Kalushska;;25.05.2023;Доступ до послуг;Ukrainian;Collective centre;5;5;;;10;IDP
UKR-000322;28;Protection;Lviv;Zolochivsky;Zolochivska;;30.05.2023;Доступ до послуг;Ukrainian;Collective centre;8;2;;;10;IDP
UKR-000322;29;Protection;Lviv;Chervonohradskyy;Radehivska;;07.06.2023;Доступ до послуг;Ukrainian;Collective centre;0;13;;4;17;IDP
UKR-000322;30;Protection;Lviv;Chervonohradskyy;Radehivska;;07.06.2023;Доступ до послуг;Ukrainian;Collective centre;0;15;;2;17;IDP
UKR-000322;31;Protection;Lviv;Kalushsky;Dolynska;;08.06.2023;Доступ до послуг;Ukrainian;Collective centre;0;20;;6;26;IDP
UKR-000322;32;Protection;Lviv;Lvivskiy;Lvivska;Zaliznychna, 7;20.06.2023;Доступ до послуг;Ukrainian;Collective centre;0;11;;4;15;IDP
UKR-000322;33;Protection;Lviv;Stryiskyy ;Hnizdychivska;Shevchenka, 2;27.06.2023;Доступ до послуг;Ukrainian;Collective centre;0;10;;3;13;IDP
UKR-000322;34;Protection;Lviv;Lvivskiy;Lvivska;Ihoria Daska, 7;10.07.2023;Доступ до послуг;Ukrainian;Collective centre;5;9;;;14;IDP
UKR-000322;35;Protection;Ivano-Frankivsk;Kalushsky;Bolehivska;Sichovykh Striltsiv, 62;13.07.2023;Доступ до послуг;Ukrainian;Collective centre;5;7;;;12;IDP
UKR-000322;36;Protection;Lviv;Chervonohradskyy;Sokalska;Heroyiv UPA, 11;18.07.2023;Доступ до послуг;Ukrainian;Collective centre;17;7;;1;25;IDP