_ID;Project ;Payment Done;Amount
436383847;;No;13 320
436407187;;No;13 320
436439148;UKR-000298;Yes;13 320
436442404;UKR-000298;Yes;6 660
436448587;UKR-000298;Yes;6 660
436454375;UKR-000298;Yes;13 320
436464939;UKR-000298;Yes;26 640
436465594;UKR-000298;Yes;6 660
436467566;UKR-000298;Yes;33 300
436471072;UKR-000298;Yes;39 960
436475180;UKR-000298;Yes;26 640
436475715;UKR-000298;Yes;26 640
436480409;UKR-000298;Yes;13 320
436480469;UKR-000298;Yes;13 320
436480660;;No;0
436481761;UKR-000298;Yes;6 660
436482901;;No;6 660
436484298;UKR-000298;Yes;6 660
436485026;UKR-000298;Yes;19 980
436486059;UKR-000298;Yes;26 640
436487226;UKR-000298;Yes;19 980
436487280;UKR-000298;Yes;19 980
436487373;UKR-000298;Yes;6 660
436488434;UKR-000298;Yes;13 320
436489409;UKR-000298;Yes;6 660
436489546;UKR-000298;Yes;6 660
436489675;UKR-000298;Yes;19 980
436490021;UKR-000298;Yes;13 320
436490834;UKR-000298;Yes;6 660
436491120;UKR-000298;Yes;6 660
436494041;UKR-000298;Yes;6 660
436496545;UKR-000298;Yes;13 320
436499375;UKR-000298;Yes;6 660
436500431;UKR-000298;Yes;6 660
436509735;UKR-000298;Yes;13 320
436545655;UKR-000298;Yes;6 660
436551397;UKR-000298;Yes;39 960
436752349;UKR-000298;Yes;6 660
436752389;UKR-000298;Yes;6 660
436752459;UKR-000298;Yes;6 660
436752724;UKR-000298;Yes;13 320
436753050;UKR-000298;Yes;26 640
436753358;UKR-000298;Yes;6 660
436753377;UKR-000298;Yes;6 660
436753512;UKR-000298;Yes;6 660
436754417;UKR-000298;Yes;13 320
436754428;UKR-000298;Yes;33 300
436754496;UKR-000298;Yes;13 320
436754849;UKR-000298;Yes;19 980
436755338;UKR-000298;Yes;6 660
436755840;UKR-000298;Yes;13 320
436755895;UKR-000298;Yes;13 320
436756170;UKR-000298;Yes;19 980
436756313;UKR-000298;Yes;6 660
436756630;UKR-000298;Yes;19 980
436756765;UKR-000298;Yes;6 660
436756980;UKR-000298;Yes;6 660
436757053;UKR-000298;Yes;13 320
436757343;UKR-000298;Yes;6 660
436758001;;No;0
436758868;UKR-000298;Yes;13 320
436759091;UKR-000298;Yes;13 320
436759159;UKR-000298;Yes;26 640
436759823;UKR-000298;Yes;13 320
436760232;UKR-000298;Yes;6 660
436760744;UKR-000298;Yes;13 320
436760783;UKR-000298;Yes;13 320
436760857;UKR-000298;Yes;13 320
436764195;UKR-000298;Yes;19 980
436766391;UKR-000298;Yes;19 980
436768259;UKR-000298;Yes;6 660
436768791;UKR-000298;Yes;6 660
436769853;UKR-000298;Yes;19 980
436770901;UKR-000298;Yes;13 320
436770905;UKR-000298;Yes;33 300
436774016;UKR-000298;Yes;19 980
436775330;UKR-000298;Yes;6 660
436775464;UKR-000298;Yes;13 320
436779269;UKR-000298;Yes;13 320
436780267;;No;6 660
436782473;UKR-000298;Yes;13 320
436784129;UKR-000298;Yes;6 660
436788595;UKR-000298;Yes;13 320
436790353;UKR-000298;Yes;6 660
436791041;;No;6 660
436791874;;No;6 660
436792435;UKR-000298;Yes;13 320
436793852;UKR-000298;Yes;19 980
436793901;UKR-000298;Yes;19 980
436794330;UKR-000298;Yes;13 320
436794404;UKR-000298;Yes;19 980
436795463;UKR-000298;Yes;13 320
436799943;UKR-000298;Yes;6 660
436800648;UKR-000298;Yes;6 660
436802595;UKR-000298;Yes;19 980
436804268;UKR-000298;Yes;26 640
436806249;UKR-000298;Yes;19 980
436809422;UKR-000298;Yes;13 320
436810019;UKR-000298;Yes;6 660
436814993;UKR-000298;Yes;6 660
436818557;UKR-000298;Yes;19 980
436823167;UKR-000298;Yes;19 980
436825206;UKR-000298;Yes;13 320
436827818;UKR-000298;Yes;19 980
436830711;UKR-000298;Yes;6 660
436893823;UKR-000298;Yes;6 660
436899878;UKR-000298;Yes;19 980
436903394;UKR-000298;Yes;19 980
436910716;UKR-000298;Yes;6 660
436911955;UKR-000298;Yes;6 660
436912830;UKR-000298;Yes;6 660
436914620;UKR-000298;Yes;6 660
436914925;UKR-000298;Yes;13 320
436916221;UKR-000298;Yes;13 320
436916730;UKR-000298;Yes;6 660
436918370;UKR-000298;Yes;19 980
436919993;UKR-000298;Yes;6 660
436920867;UKR-000298;Yes;6 660
436922237;UKR-000298;Yes;13 320
436943527;UKR-000298;Yes;6 660
436944654;UKR-000298;Yes;19 980
436946835;UKR-000298;Yes;19 980
437180990;UKR-000298;Yes;6 660
437182507;UKR-000298;Yes;6 660
437182610;UKR-000298;Yes;6 660
437184114;UKR-000298;Yes;6 660
437184976;UKR-000298;Yes;6 660
437185353;UKR-000298;Yes;6 660
437186843;UKR-000298;Yes;6 660
437186853;UKR-000298;Yes;6 660
437188015;UKR-000298;Yes;6 660
437188809;UKR-000298;Yes;6 660
437189293;UKR-000298;Yes;6 660
437191025;UKR-000298;Yes;26 640
437191394;UKR-000298;Yes;13 320
437191801;UKR-000298;Yes;6 660
437192148;UKR-000298;Yes;13 320
437193169;UKR-000298;Yes;19 980
437193529;UKR-000298;Yes;6 660
437194198;UKR-000298;Yes;13 320
437196213;UKR-000298;Yes;13 320
437201455;UKR-000298;Yes;33 300
437204787;UKR-000298;Yes;6 660
437205311;UKR-000298;Yes;13 320
437207607;UKR-000298;Yes;19 980
437208291;UKR-000298;Yes;13 320
437209554;UKR-000298;Yes;19 980
437214051;;No;6 660
437214189;UKR-000298;Yes;26 640
437217932;UKR-000298;Yes;13 320
437223480;UKR-000298;Yes;6 660
437227094;UKR-000298;Yes;6 660
437227217;UKR-000298;Yes;6 660
437229446;;No;33 300
437230031;UKR-000298;Yes;13 320
437231925;UKR-000298;Yes;13 320
437234186;UKR-000298;Yes;6 660
437234619;UKR-000298;Yes;6 660
437235605;UKR-000298;Yes;6 660
437236077;UKR-000298;Yes;6 660
437236755;UKR-000298;Yes;6 660
437240303;;No;6 660
437240762;UKR-000298;Yes;6 660
437242204;UKR-000298;Yes;13 320
437243257;UKR-000298;Yes;13 320
437243938;UKR-000298;Yes;13 320
437246946;UKR-000298;Yes;6 660
437249096;UKR-000298;Yes;13 320
437250105;UKR-000298;Yes;19 980
437251134;UKR-000298;Yes;6 660
437252624;UKR-000298;Yes;19 980
437263434;UKR-000298;Yes;13 320
437267451;;No;19 980
437272276;UKR-000298;Yes;13 320
437272915;UKR-000298;Yes;26 640
437275944;UKR-000298;Yes;26 640
437276030;UKR-000298;Yes;26 640
437278178;UKR-000298;Yes;6 660
437279487;UKR-000298;Yes;6 660
437280663;UKR-000298;Yes;6 660
437281747;UKR-000298;Yes;19 980
437285063;UKR-000298;Yes;13 320
437291616;UKR-000298;Yes;13 320
437292906;UKR-000298;Yes;13 320
437295821;UKR-000298;Yes;19 980
437296012;UKR-000298;Yes;6 660
437297055;UKR-000298;Yes;26 640
437298861;UKR-000298;Yes;6 660
437301102;UKR-000298;Yes;19 980
437308236;UKR-000298;Yes;19 980
437309164;UKR-000298;Yes;6 660
437309580;UKR-000298;Yes;6 660
437310664;UKR-000298;Yes;19 980
437312355;UKR-000298;Yes;6 660
437314258;UKR-000298;Yes;13 320
437314335;UKR-000298;Yes;6 660
437315138;UKR-000298;Yes;13 320
437316194;UKR-000298;Yes;6 660
437316248;UKR-000298;Yes;13 320
437318646;UKR-000298;Yes;6 660
437318796;UKR-000298;Yes;13 320
437320804;UKR-000298;Yes;19 980
437328124;UKR-000298;Yes;6 660
437329366;UKR-000298;Yes;13 320
437329494;UKR-000298;Yes;33 300
437367417;UKR-000298;Yes;6 660
437588758;UKR-000298;Yes;13 320
437589514;;No;13 320
437589965;UKR-000298;Yes;6 660
437590462;UKR-000298;Yes;33 300
437590517;UKR-000298;Yes;6 660
437591120;UKR-000298;Yes;6 660
437591384;UKR-000298;Yes;6 660
437592024;UKR-000298;Yes;13 320
437592347;UKR-000298;Yes;19 980
437592801;UKR-000298;Yes;13 320
437593235;UKR-000298;Yes;6 660
437593615;;No;13 320
437594043;;No;13 320
437594809;UKR-000298;Yes;19 980
437595013;UKR-000298;Yes;13 320
437595139;UKR-000298;Yes;19 980
437595156;;No;13 320
437595944;UKR-000298;Yes;6 660
437596368;UKR-000298;Yes;6 660
437596385;UKR-000298;Yes;19 980
437596578;UKR-000298;Yes;13 320
437596689;UKR-000298;Yes;19 980
437597326;UKR-000298;Yes;19 980
437598283;UKR-000298;Yes;6 660
437598464;;No;13 320
437598791;UKR-000298;Yes;33 300
437598882;;No;6 660
437599163;;No;13 320
437599349;UKR-000298;Yes;6 660
437601450;UKR-000298;Yes;6 660
437601552;UKR-000298;Yes;13 320
437601631;UKR-000298;Yes;13 320
437602104;;No;0
437603143;UKR-000298;Yes;6 660
437603371;UKR-000298;Yes;13 320
437603499;UKR-000270;Yes;6 660
437603602;UKR-000298;Yes;13 320
437603785;UKR-000270;Yes;26 640
437603926;UKR-000298;Yes;13 320
437604119;UKR-000270;Yes;19 980
437604149;UKR-000298;Yes;6 660
437604965;UKR-000298;Yes;13 320
437605204;UKR-000270;Yes;13 320
437605267;UKR-000298;Yes;13 320
437605489;UKR-000298;Yes;13 320
437606591;UKR-000298;Yes;19 980
437606607;UKR-000298;Yes;13 320
437607797;UKR-000298;Yes;33 300
437607958;UKR-000270;Yes;6 660
437608056;UKR-000270;Yes;13 320
437608080;;No;6 660
437609164;UKR-000298;Yes;13 320
437609448;UKR-000298;Yes;13 320
437609609;UKR-000298;Yes;6 660
437609747;UKR-000298;Yes;6 660
437610156;UKR-000298;Yes;13 320
437610309;UKR-000298;Yes;6 660
437610347;UKR-000270;Yes;19 980
437610660;UKR-000298;Yes;13 320
437610841;UKR-000298;Yes;13 320
437611102;UKR-000270;Yes;6 660
437611155;UKR-000298;Yes;6 660
437612092;UKR-000298;Yes;19 980
437612266;UKR-000298;Yes;6 660
437612388;UKR-000298;Yes;6 660
437612551;UKR-000270;Yes;26 640
437612573;UKR-000270;Yes;19 980
437612652;UKR-000298;Yes;33 300
437612725;UKR-000298;Yes;6 660
437612770;UKR-000298;Yes;6 660
437613333;UKR-000298;Yes;6 660
437613413;UKR-000298;Yes;13 320
437613847;UKR-000270;Yes;6 660
437614157;;No;26 640
437614217;;No;13 320
437614477;UKR-000298;Yes;13 320
437614791;UKR-000298;Yes;26 640
437614964;UKR-000298;Yes;26 640
437615330;UKR-000298;Yes;19 980
437615432;UKR-000270;Yes;6 660
437615487;UKR-000298;Yes;6 660
437615529;UKR-000298;Yes;13 320
437615771;UKR-000298;Yes;6 660
437615773;UKR-000270;Yes;39 960
437615900;UKR-000298;Yes;33 300
437615910;UKR-000298;Yes;19 980
437616056;;No;6 660
437616345;;No;19 980
437616413;UKR-000298;Yes;6 660
437616818;UKR-000298;Yes;6 660
437617060;UKR-000270;Yes;26 640
437617456;;No;13 320
437617723;;No;19 980
437617923;;No;6 660
437618043;UKR-000298;Yes;19 980
437618415;UKR-000270;Yes;26 640
437618535;UKR-000298;Yes;39 960
437618626;UKR-000298;Yes;13 320
437618824;UKR-000298;Yes;19 980
437618823;;No;6 660
437619172;UKR-000298;Yes;13 320
437619822;;No;0
437619935;;No;6 660
437620393;;No;33 300
437620497;UKR-000298;Yes;6 660
437620505;UKR-000298;Yes;13 320
437620845;;No;39 960
437620977;;No;19 980
437621091;UKR-000298;Yes;6 660
437621904;;No;19 980
437622268;;No;13 320
437622557;UKR-000270;Yes;6 660
437623011;;No;6 660
437623360;UKR-000298;Yes;6 660
437623383;UKR-000298;Yes;6 660
437623602;UKR-000298;Yes;19 980
437623650;;No;19 980
437623849;;No;33 300
437624144;UKR-000298;Yes;46 620
437624245;UKR-000298;Yes;13 320
437624350;;No;13 320
437624702;;No;13 320
437625042;UKR-000298;Yes;13 320
437625192;UKR-000298;Yes;6 660
437625291;;No;6 660
437625608;UKR-000298;Yes;19 980
437625622;UKR-000270;Yes;13 320
437625871;UKR-000298;Yes;33 300
437626241;UKR-000298;Yes;19 980
437626289;UKR-000298;Yes;19 980
437626332;;No;26 640
437626497;UKR-000270;Yes;19 980
437626747;;No;13 320
437626821;UKR-000298;Yes;6 660
437626832;;No;6 660
437627051;UKR-000298;Yes;19 980
437627301;UKR-000270;Yes;6 660
437627388;UKR-000298;Yes;13 320
437628102;;No;26 640
437628260;;No;13 320
437628304;UKR-000270;Yes;6 660
437628549;UKR-000298;Yes;13 320
437628569;;No;13 320
437628903;UKR-000298;Yes;13 320
437629612;UKR-000270;Yes;6 660
437630354;UKR-000298;Yes;26 640
437630515;;No;13 320
437630546;;No;6 660
437631373;UKR-000270;Yes;26 640
437631450;UKR-000298;Yes;19 980
437632276;;No;13 320
437632301;UKR-000270;Yes;13 320
437632413;;No;13 320
437632417;;No;33 300
437632453;;No;13 320
437633037;;No;13 320
437633278;UKR-000298;Yes;19 980
437634144;;No;33 300
437634503;;No;6 660
437634676;UKR-000298;Yes;39 960
437635203;UKR-000298;Yes;13 320
437635242;UKR-000298;Yes;6 660
437635619;UKR-000298;Yes;13 320
437635768;;No;6 660
437636690;UKR-000298;Yes;19 980
437637025;UKR-000298;Yes;19 980
437637065;UKR-000298;Yes;6 660
437637117;;No;6 660
437637610;UKR-000298;Yes;26 640
437637867;UKR-000298;Yes;13 320
437637950;UKR-000298;Yes;39 960
437638047;UKR-000298;Yes;13 320
437638225;UKR-000298;Yes;19 980
437638273;UKR-000298;Yes;19 980
437639116;;No;0
437639495;UKR-000298;Yes;19 980
437639496;UKR-000298;Yes;6 660
437639545;UKR-000270;Yes;13 320
437639774;UKR-000270;Yes;6 660
437639956;UKR-000298;Yes;6 660
437640255;UKR-000298;Yes;19 980
437640613;UKR-000270;Yes;6 660
437641071;UKR-000298;Yes;33 300
437641248;UKR-000270;Yes;13 320
437641512;;No;13 320
437643546;UKR-000298;Yes;26 640
437654285;UKR-000298;Yes;6 660
437654588;UKR-000298;Yes;39 960
437654931;UKR-000270;Yes;13 320
437655528;UKR-000298;Yes;6 660
437655966;UKR-000270;Yes;6 660
437656368;UKR-000270;Yes;26 640
437656956;UKR-000298;Yes;6 660
437657636;UKR-000298;Yes;13 320
437658856;;No;6 660
437659713;UKR-000298;Yes;46 620
437660575;UKR-000298;Yes;13 320
437661583;UKR-000298;Yes;33 300
437662126;UKR-000298;Yes;26 640
437663552;UKR-000298;Yes;13 320
437663863;;No;26 640
437664300;UKR-000298;Yes;13 320
437666705;UKR-000270;Yes;13 320
437672644;UKR-000270;Yes;19 980
437674592;UKR-000270;Yes;26 640
437676935;UKR-000298;Yes;6 660
437677827;UKR-000270;Yes;13 320
437684021;UKR-000298;Yes;6 660
437684679;UKR-000298;Yes;13 320
437686152;UKR-000298;Yes;6 660
437687166;UKR-000298;Yes;33 300
437688317;UKR-000298;Yes;13 320
437688587;UKR-000298;Yes;6 660
437689769;UKR-000298;Yes;19 980
437689782;UKR-000298;Yes;13 320
437692747;UKR-000298;Yes;13 320
437697091;UKR-000298;Yes;6 660
437700353;UKR-000298;Yes;19 980
437702827;UKR-000298;Yes;6 660
437704616;UKR-000298;Yes;13 320
437706480;UKR-000298;Yes;6 660
437708492;UKR-000298;Yes;13 320
437710268;UKR-000298;Yes;13 320
437710681;UKR-000298;Yes;6 660
437712159;UKR-000298;Yes;19 980
437713717;UKR-000298;Yes;6 660
437715003;UKR-000298;Yes;6 660
437715622;UKR-000298;Yes;26 640
437716333;UKR-000298;Yes;6 660
437716420;UKR-000270;Yes;6 660
437716541;UKR-000298;Yes;6 660
437717452;UKR-000298;Yes;13 320
437718289;UKR-000270;Yes;13 320
437718711;UKR-000298;Yes;13 320
437719764;UKR-000298;Yes;6 660
437720338;UKR-000270;Yes;6 660
437720715;UKR-000298;Yes;6 660
437724586;UKR-000298;Yes;13 320
437732767;UKR-000270;Yes;6 660
437734210;UKR-000270;Yes;6 660
437739626;UKR-000270;Yes;19 980
437741310;UKR-000270;Yes;6 660
437744998;UKR-000270;Yes;13 320
437747846;UKR-000270;Yes;6 660
437750905;UKR-000270;Yes;6 660
437899373;UKR-000298;Yes;6 660
437899808;UKR-000298;Yes;6 660
437899988;UKR-000298;Yes;13 320
437900122;UKR-000298;Yes;19 980
437900349;UKR-000298;Yes;13 320
437900848;UKR-000298;Yes;33 300
437901132;UKR-000298;Yes;6 660
437901420;UKR-000298;Yes;6 660
437901558;UKR-000298;Yes;33 300
437902008;UKR-000298;Yes;13 320
437902283;UKR-000298;Yes;13 320
437902384;UKR-000298;Yes;6 660
437902565;UKR-000298;Yes;19 980
437902677;UKR-000298;Yes;6 660
437902971;UKR-000270;Yes;26 640
437903556;UKR-000298;Yes;6 660
437903706;UKR-000298;Yes;13 320
437904454;UKR-000298;Yes;13 320
437904596;UKR-000270;Yes;13 320
437904906;UKR-000298;Yes;13 320
437905329;UKR-000298;Yes;13 320
437905366;UKR-000270;Yes;26 640
437905679;UKR-000298;Yes;6 660
437905755;UKR-000298;Yes;6 660
437905973;UKR-000270;Yes;13 320
437906079;UKR-000298;Yes;6 660
437906252;UKR-000298;Yes;19 980
437906305;UKR-000298;Yes;33 300
437906925;UKR-000298;Yes;13 320
437907087;UKR-000298;Yes;26 640
437907196;UKR-000270;Yes;19 980
437907589;UKR-000298;Yes;6 660
437907770;UKR-000298;Yes;26 640
437907925;UKR-000298;Yes;6 660
437908324;UKR-000298;Yes;6 660
437908727;UKR-000298;Yes;13 320
437908847;UKR-000298;Yes;19 980
437909351;UKR-000298;Yes;6 660
437909361;UKR-000270;Yes;13 320
437909367;UKR-000298;Yes;6 660
437909681;UKR-000298;Yes;6 660
437909736;UKR-000298;Yes;13 320
437910105;UKR-000298;Yes;13 320
437910162;UKR-000298;Yes;19 980
437910285;UKR-000270;Yes;19 980
437910436;UKR-000298;Yes;19 980
437910671;UKR-000298;Yes;26 640
437910776;UKR-000298;Yes;19 980
437910778;UKR-000270;Yes;13 320
437910864;UKR-000298;Yes;6 660
437911211;UKR-000298;Yes;6 660
437911296;UKR-000270;Yes;6 660
437911299;UKR-000298;Yes;6 660
437911561;UKR-000298;Yes;19 980
437911861;UKR-000270;Yes;26 640
437911889;UKR-000298;Yes;13 320
437911947;UKR-000298;Yes;13 320
437912087;UKR-000298;Yes;6 660
437912472;UKR-000298;Yes;19 980
437912592;UKR-000270;Yes;13 320
437912664;UKR-000298;Yes;6 660
437912735;UKR-000298;Yes;13 320
437913322;UKR-000298;Yes;19 980
437913549;UKR-000298;Yes;6 660
437913764;UKR-000298;Yes;19 980
437913924;UKR-000270;Yes;19 980
437915172;UKR-000270;Yes;26 640
437916541;UKR-000298;Yes;6 660
437916606;UKR-000270;Yes;13 320
437916609;UKR-000298;Yes;13 320
437916698;UKR-000298;Yes;19 980
437917148;UKR-000270;Yes;6 660
437917499;UKR-000298;Yes;19 980
437918141;UKR-000270;Yes;26 640
437918615;UKR-000270;Yes;6 660
437918707;UKR-000298;Yes;13 320
437919204;UKR-000270;Yes;6 660
437919569;UKR-000298;Yes;13 320
437920015;UKR-000270;Yes;26 640
437920253;UKR-000298;Yes;6 660
437920686;UKR-000298;Yes;6 660
437921314;UKR-000270;Yes;13 320
437921408;UKR-000298;Yes;26 640
437921628;UKR-000298;Yes;19 980
437921977;UKR-000298;Yes;19 980
437922112;;No;6 660
437922301;;No;26 640
437922338;UKR-000298;Yes;6 660
437922886;UKR-000270;Yes;26 640
437923433;UKR-000270;Yes;6 660
437923462;UKR-000270;Yes;13 320
437923500;UKR-000270;Yes;6 660
437923517;UKR-000298;Yes;26 640
437923532;UKR-000270;Yes;6 660
437923564;UKR-000270;Yes;6 660
437923583;UKR-000270;Yes;6 660
437923614;UKR-000270;Yes;19 980
437923638;UKR-000270;Yes;6 660
437923663;UKR-000270;Yes;26 640
437923668;UKR-000270;Yes;26 640
437923674;UKR-000270;Yes;6 660
437923680;UKR-000270;Yes;6 660
437923688;UKR-000270;Yes;6 660
437923697;UKR-000270;Yes;13 320
437923788;UKR-000298;Yes;6 660
437924122;UKR-000298;Yes;6 660
437924219;;No;6 660
437924360;UKR-000298;Yes;6 660
437924890;UKR-000270;Yes;26 640
437925000;UKR-000270;Yes;33 300
437925301;UKR-000298;Yes;19 980
437925970;UKR-000270;Yes;46 620
437926223;;No;13 320
437926430;UKR-000298;Yes;19 980
437926681;UKR-000298;Yes;26 640
437927067;UKR-000270;Yes;13 320
437927209;UKR-000298;Yes;19 980
437927312;UKR-000298;Yes;26 640
437927578;UKR-000270;Yes;6 660
437927879;UKR-000298;Yes;13 320
437928031;UKR-000298;Yes;26 640
437928260;UKR-000270;Yes;19 980
437928438;UKR-000298;Yes;6 660
437928805;UKR-000298;Yes;6 660
437929081;UKR-000298;Yes;19 980
437929467;UKR-000270;Yes;13 320
437929624;UKR-000270;Yes;19 980
437930812;UKR-000298;Yes;13 320
437931002;;No;33 300
437931096;UKR-000270;Yes;6 660
437931307;UKR-000270;Yes;6 660
437932302;;No;13 320
437932691;UKR-000298;Yes;13 320
437932741;UKR-000298;Yes;33 300
437933508;UKR-000298;Yes;26 640
437933862;UKR-000298;Yes;13 320
437934148;UKR-000270;Yes;13 320
437934310;UKR-000298;Yes;6 660
437934666;UKR-000270;Yes;33 300
